fornitore,reg,codice_regione,Code,anno,mese,age_group,coverage_of_the_age_group,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_6,coverage_7,coverage_8,coverage_9,coverage_10,coverage_11,coverage_12,coverage_13,coverage_14,coverage_15,efficacy_baseline,efficacy_lower,efficacy_upper
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,2,1,3.8029211e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,66
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,3,1,.000080812075,.95505625,.044943821,0,0,0,0,0,0,0,0,0,0,0,0,0,60.000004,53.000004,66.000008
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,4,1,.000021866797,.20535715,.7589286,.035714287,0,0,0,0,0,0,0,0,0,0,0,0,59.957142,52.964287,65.88929
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,5,1,.000041832132,.2820513,.1474359,.54487181,.025641026,0,0,0,0,0,0,0,0,0,0,0,59.202568,52.36282,64.136543
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,6,1,.000067501853,.31277534,.19383261,.10132159,.37444934,.017621145,0,0,0,0,0,0,0,0,0,0,57.621147,51.406174,62.977535
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,7,1,9.5073028e-06,.042194095,.29957807,.18565401,.09704642,.35864979,.016877636,0,0,0,0,0,0,0,0,0,55.36245,48.725739,60.84726
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,8,1,1.9014606e-06,.0083682006,.041841004,.29707113,.1841004,.096234307,.35564852,.016736401,0,0,0,0,0,0,0,0,44.330959,33.573639,49.330963
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,9,1,1.9014606e-06,.0082987547,.0082987547,.041493773,.29460582,.1825726,.095435686,.3526971,.016597509,0,0,0,0,0,0,0,39.908714,26.984232,45.801247
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,10,1,1.9014606e-06,.0082304524,.0082304524,.0082304524,.041152265,.29218107,.18106996,.094650209,.34979424,.016460905,0,0,0,0,0,0,33.989712,17.634981,44.778603
