reg	codice_regione	Code	inizio_scuole	Sett
Piemonte	1	ITC1	9/13/2021	14
Valle_dAosta	2	ITC2	9/13/2021	14
Lombardia	3	ITC4	9/13/2021	14
Veneto	5	ITH3	9/13/2021	14
Friuli_Venezia_Giulia	6	ITH4	9/16/2021	15
Liguria	7	ITC3	9/15/2021	14
Emilia_Romagna	8	ITH5	9/13/2021	14
Toscana	9	ITI1	9/15/2021	14
Umbria	10	ITI2	9/13/2021	14
Marche	11	ITI3	9/15/2021	14
Lazio	12	ITI4	9/13/2021	14
Abruzzo	13	ITF1	9/13/2021	14
Molise	14	ITF2	9/15/2021	14
Campania	15	ITF3	9/15/2021	14
Puglia	16	ITF4	9/20/2021	15
Basilicata	17	ITF5	9/13/2021	14
Calabria	18	ITF6	9/20/2021	15
Sicilia	19	ITG1	9/16/2021	15
Sardegna	20	ITG2	9/20/2021	16
PA_Bolzano	21	ITH1	09/06/2021	13
PA_Trento	22	ITH2	9/13/2021	14
